,utcdate,utctime,alt,speed_mph,n_sats
186710,2021-11-19,,213,4144.54457,11
186973,2021-11-19,,212,4949.841386,11
187252,2021-11-19,,212,5620.922066,11
187517,2021-11-19,,211,4916.287352,11
187798,2021-11-19,,211,3910.287703,10
188075,2021-11-19,,210,1628.613391,10
188348,2021-11-19,,210,2568.126343,10
188611,2021-11-19,,209,1595.059357,10
188888,2021-11-19,,209,40136.217003,10
189162,2021-11-19,,208,38861.163711,10
189437,2021-11-19,,208,35137.287308,10
189713,2021-11-19,,208,34298.436458000004,10
189982,2021-11-19,,207,37015.691841,10
190257,2021-11-19,,207,36110.354294,10
190533,2021-11-19,,206,34164.220322,10
190811,2021-11-19,,206,33493.139642,10
191077,2021-11-19,,206,38794.055643,10
191362,2021-11-19,,206,36009.692192,10
191633,2021-11-19,,206,38424.961269,10
191916,2021-11-19,,205,36814.989008,9
192190,2021-11-19,,205,35841.922022,9
192465,2021-11-19,,205,36278.124464,9
192741,2021-11-19,,205,37451.894283,10
193016,2021-11-19,,205,36513.002702,10
193291,2021-11-19,,205,36412.3406,10
193566,2021-11-19,,204,37720.326555,9
193842,2021-11-19,,204,36177.462362,9
194117,2021-11-19,,204,36848.543042,10
194392,2021-11-19,,204,36513.002702,9
194669,2021-11-19,,203,38760.501609,11
194951,2021-11-19,,203,37686.772521,11
195220,2021-11-19,,203,33526.693676,11
195499,2021-11-19,,202,36076.80026,11
195769,2021-11-19,,202,34264.882424,11
196046,2021-11-19,,202,33660.909812,11
196320,2021-11-19,,202,30037.07414,11
196595,2021-11-19,,201,30003.520106,10
196895,2021-11-19,,201,27185.602621,11
197170,2021-11-19,,200,25474.346887,11
197459,2021-11-19,,200,24132.185527,10
197733,2021-11-19,,199,22051.835419,10
198009,2021-11-19,,199,20743.849464,10
198280,2021-11-19,,199,18764.161458,10
198560,2021-11-19,,198,17086.459758,10
198835,2021-11-19,,198,14670.56931,11
199110,2021-11-19,,198,10242.058193,11
199385,2021-11-19,,198,6450.452351,11
199660,2021-11-19,,198,2760.129982,11
199936,2021-11-19,,198,39455.815758,11
200215,2021-11-19,,198,33483.819077,11
200485,2021-11-19,,198,29021.753926,11
200761,2021-11-19,,198,25397.918254,11
201036,2021-11-19,,199,23083.311279,11
201312,2021-11-19,,199,18587.070723,11
201588,2021-11-19,,199,16338.950445,11
201856,2021-11-19,,199,14125.005572,11
202131,2021-11-19,,199,11776.223192,11
202394,2021-11-19,,199,8487.92786,11
202671,2021-11-19,,199,6810.847531,11
202940,2021-11-19,,199,5166.6998650000005,11
203213,2021-11-19,,199,5502.240205,11
203490,2021-11-19,,199,7112.833837,11
203763,2021-11-19,,199,8756.360132,11
204033,2021-11-19,,200,13688.80313,11
204320,2021-11-19,,200,17412.679533,11
204590,2021-11-19,,200,21506.271681000002,11
204857,2021-11-19,,200,23049.757245,11
205128,2021-11-19,,200,26337.431206,11
205410,2021-11-19,,200,28115.795008,11
205680,2021-11-19,,200,28317.119212,11
205950,2021-11-19,,200,31571.239139,11
206229,2021-11-19,,200,30565.23949,11
206504,2021-11-19,,200,32040.995615,11
206786,2021-11-19,,200,34960.196573,11
207054,2021-11-19,,200,38986.059282,11
207331,2021-11-19,,200,39623.585928,11
207605,2021-11-19,,200,1552.184758,11
207881,2021-11-19,,200,2089.049302,11
208152,2021-11-19,,200,612.6718060000001,11
208432,2021-11-19,,200,1082.428282,11
208706,2021-11-19,,199,5008.25026,11
208995,2021-11-19,,199,12993.488981,11
209269,2021-11-19,,198,6450.452351,11
209545,2021-11-19,,198,9436.761377,11
209820,2021-11-19,,198,10174.950125,11
210109,2021-11-19,,198,11617.773587,11
210383,2021-11-19,,197,14905.447548,11
210665,2021-11-19,,197,15475.866126,11
210933,2021-11-19,,197,18126.634812,11
211216,2021-11-19,,197,19133.255832,11
211505,2021-11-19,,196,21582.078943,11
211777,2021-11-19,,196,22353.821725,11
212041,2021-11-19,,196,23226.226609,11
212316,2021-11-19,,196,23461.104847,11
212585,2021-11-19,,195,24098.631493,10
212860,2021-11-19,,195,24501.279901,10
213131,2021-11-19,,195,25675.671091,10
213402,2021-11-19,,194,27823.129267,10
213673,2021-11-19,,194,28997.520457,10
213949,2021-11-19,,194,30674.600786,11
214233,2021-11-19,,194,30506.830616,11
214506,2021-11-19,,194,32285.194418,11
214808,2021-11-19,,194,32050.31618,10
215075,2021-11-19,,194,34130.666288,10
215359,2021-11-19,,193,35103.733274,10
215633,2021-11-19,,194,34734.6389,11
215908,2021-11-19,,194,35573.48975,11
216180,2021-11-19,,193,36110.354294,11
216457,2021-11-19,,193,38525.623371,11
216734,2021-11-19,,193,40438.203309,11
217009,2021-11-19,,194,51.573793,11
217321,2021-11-19,,194,37787.434623,11
217603,2021-11-19,,194,39163.150017,11
217880,2021-11-19,,194,40639.527513,11
218149,2021-11-19,,193,286.452031,10
218428,2021-11-19,,193,40404.649275,10
218691,2021-11-19,,193,487.776235,10
218969,2021-11-19,,192,252.897997,10
219240,2021-11-19,,192,40639.527513,11
219520,2021-11-19,,191,890.4246430000001,11
219792,2021-11-19,,191,2534.572309,11
220075,2021-11-19,,191,3675.409465,11
220351,2021-11-19,,191,5486.70593,11
220624,2021-11-19,,191,5587.368032,11
220894,2021-11-19,,192,5755.138202,11
221169,2021-11-19,,192,8003.25848,11
221459,2021-11-19,,192,8473.014956,11
221732,2021-11-19,,192,8607.231092,10
222008,2021-11-19,,193,9144.095636,10
222276,2021-11-19,,193,9177.64967,11
222545,2021-11-19,,193,10486.256996,11
222815,2021-11-19,,193,11056.675574,9
223091,2021-11-19,,194,11392.215914,9
223358,2021-11-19,,194,11123.783642,9
223646,2021-11-19,,194,12129.783291,9
223916,2021-11-19,,194,12263.999427,9
224204,2021-11-19,,194,11425.769948000001,8
224472,2021-11-19,,194,12465.323631,8
224754,2021-11-19,,194,12029.121189,8
225030,2021-11-19,,194,12029.121189,9
225304,2021-11-19,,194,12297.553461,9
225572,2021-11-19,,194,12297.553461,8
225849,2021-11-19,,194,12196.891359,9
226129,2021-11-19,,194,12465.323631,9
226405,2021-11-19,,194,12331.107495,9
226688,2021-11-19,,194,12129.783291,8
226956,2021-11-19,,194,12263.999427,8
227237,2021-11-19,,194,11559.986084,10
227506,2021-11-19,,194,11827.796985,10
227782,2021-11-19,,194,12565.985733,11
228050,2021-11-19,,194,11794.242951,11
228330,2021-11-19,,194,12029.121189,11
228608,2021-11-19,,194,12029.121189,11
228879,2021-11-19,,194,12129.783291,10
229151,2021-11-19,,194,12398.215563,10
229428,2021-11-19,,194,11257.999778,10
229708,2021-11-19,,193,11894.905053,10
229984,2021-11-19,,193,11459.323982,11
230265,2021-11-19,,193,10452.702962,11
230541,2021-11-19,,193,11291.553812,11
230817,2021-11-19,,193,10989.567506,11
231091,2021-11-19,,193,10754.689268,11
231372,2021-11-19,,193,10016.50052,11
231642,2021-11-19,,193,9781.622282,10
231922,2021-11-19,,193,9412.527908,10
232206,2021-11-19,,193,9378.973874,11
232485,2021-11-19,,193,9345.41984,11
232753,2021-11-19,,193,8338.79882,11
233018,2021-11-19,,193,8775.001262,11
233293,2021-11-19,,193,9546.744044000001,11
233569,2021-11-19,,193,9009.879500000001,11
233843,2021-11-19,,193,8775.001262,11
234113,2021-11-19,,193,8036.812514,11
234407,2021-11-19,,193,7600.610072,11
234681,2021-11-19,,193,8003.25848,11
234958,2021-11-19,,193,8003.25848,11
235233,2021-11-19,,193,7466.393936,11
235513,2021-11-19,,193,6895.975358,10
235802,2021-11-19,,193,6895.975358,10
236081,2021-11-19,,193,6057.124508,10
236348,2021-11-19,,193,5419.597862,10
236620,2021-11-19,,193,2903.666683,10
236884,2021-11-19,,193,152.235895,10
237159,2021-11-19,,193,39465.136323,10
237430,2021-11-19,,193,37049.245875,10
237700,2021-11-19,,193,34097.112254,10
237972,2021-11-19,,193,31043.69516,10
238248,2021-11-19,,192,28427.101879,10
238523,2021-11-19,,192,26313.197737,9
238792,2021-11-19,,192,22823.578201,9
239068,2021-11-19,,192,21112.943838,9
239337,2021-11-19,,192,18395.067084,10
239612,2021-11-19,,192,15006.10965,10
239887,2021-11-19,,192,11349.341315,10
240164,2021-11-19,,192,9403.207343,10
240444,2021-11-19,,192,5880.655144,10
240713,2021-11-19,,192,3598.980832,10
240989,2021-11-19,,192,42.253228,10
241262,2021-11-19,,192,38349.154007,10
241533,2021-11-19,,192,34490.440097,10
241801,2021-11-19,,192,30967.887898,10
242078,2021-11-19,,192,27511.822396,10
242349,2021-11-19,,192,24861.05371,10
242615,2021-11-19,,192,21539.825715,10
242890,2021-11-19,,192,17983.098111,10
243171,2021-11-19,,192,14728.978184,11
243448,2021-11-19,,192,12078.209498,11
243723,2021-11-19,,192,8487.92786,11
243991,2021-11-19,,192,5602.902307,11
244268,2021-11-19,,193,3925.200607,11
244542,2021-11-19,,193,1844.8504990000001,11
244810,2021-11-19,,193,704.013343,11
245080,2021-11-19,,193,133.594765,11
245349,2021-11-19,,193,66.486697,11
